# timestamps [seconds],pts
-453432.219426,1010379
-453432.196515,1011881
-453432.152753,1014749
-453432.127233,1016421
-453432.089429,1018898
-453432.069394,1020211
-453432.028432,1022896
-453431.995343,1025064
-453431.959150,1027436
-453431.928876,1029420
-453431.892095,1031831
-453431.872190,1033135
-453431.829313,1035945
-453431.795064,1038190
-453431.752378,1040987
-453431.716031,1043369
-453431.696553,1044646
-453431.638707,1048437
-453431.613134,1050112
-453431.587812,1051772
-453431.542577,1054736
-453431.519094,1056275
-453431.495679,1057810
-453431.437047,1061652
-453431.413076,1063223
-453431.391782,1064619
-453431.349866,1067366
-453431.326322,1068909
-453431.282842,1071758
-453431.255407,1073556
-453431.214635,1076228
-453431.191701,1077731
-453431.146032,1080724
-453431.124395,1082142
-453431.081868,1084929
-453431.049634,1087041
-453431.009534,1089669
-453430.989896,1090956
-453430.961591,1092811
-453430.925039,1095207
-453430.908620,1096283
-453430.864248,1099191
-453430.828099,1101560
-453430.782621,1104540
-453430.763204,1105813
-453430.730382,1107964
-453430.688642,1110699
-453430.671979,1111791
-453430.632680,1114366
-453430.588453,1117265
-453430.568174,1118594
-453430.526983,1121293
-453430.480924,1124312
-453430.463369,1125462
-453430.421682,1128194
-453430.396352,1129854
-453430.355733,1132516
-453430.310445,1135484
-453430.284734,1137169
-453430.243894,1139846
-453430.219617,1141437
-453430.175184,1144349
-453430.153028,1145801
-453430.130681,1147265
-453430.087034,1150125
-453430.063268,1151683
-453430.019864,1154527
-453429.993268,1156270
-453429.958349,1158559
-453429.939664,1159783
-453429.897382,1162554
-453429.861417,1164911
-453429.823049,1167426
-453429.796155,1169188
-453429.762510,1171393
-453429.722402,1174022
-453429.695867,1175761
-453429.659948,1178115
-453429.638768,1179503
-453429.596898,1182246
-453429.560033,1184662
-453429.541944,1185848
-453429.484182,1189633
-453429.438115,1192652
-453429.415357,1194144
-453429.390134,1195797
-453429.350217,1198413
-453429.326627,1199959
-453429.282583,1202845
-453429.260099,1204319
