pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-453447.37508900004,7,0,0.9641274564027692,0.4781601781060287,0.4506472308041123,41.91025499803903,3d c++,153.01125699392918,131.84466460701304,28.955642790983312,41.91025499803903,60.47189168845545,31.897030400488227,0.29856798914384974,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.181402315024222,9.245624927269775,472.0940505132907,0.3638051927909185,0.6156504587765254,-0.6990138012275698,15.948515200244113,2.234007462427573,-1.090918986137779,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.370974,7,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.367214,7,0,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.29856798914384974,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.360582,7,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.359153,7,0,0.8323427562050503,0.47619879212156546,0.4482174439266573,41.796622356585964,3d c++,152.38361347890094,132.42781345760224,28.221720596321184,41.796622356585964,64.78211607181667,31.8214531889625,0.28832616341534223,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.679727233142998,9.70068708970626,472.26436189370696,0.32227811628102054,0.6535723056462326,-0.684821186192881,15.91072659448125,2.2830910787434004,-1.1309425987491069,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.35114000004,7,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.35113900003,7,0,0.76986975692619,0.47564858631430884,0.44878454976016124,42.145362088673195,3d c++,152.20754762057882,132.2917080575613,29.014633757187582,42.145362088673195,65.31394030588312,32.07652996169387,0.28724375127354707,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.811830830848329,9.599444154251167,472.1087296987609,0.31126948313890956,0.645135394358308,-0.6977905357717217,16.038264980846936,2.271996798680422,-1.151208151911676,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.3431,7,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.335207,7,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.32719700004,8,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.31913,8,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.309334,8,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.30315,8,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.29033600003,9,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.284854,9,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.2791,9,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.26699000003,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.258221,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.250886,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.243123,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.235149,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.22705,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.218199,10,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
